login|email|initials|role_id|phone_number|password|actuality|birth_date
kuzminagge|kuzminagge@mail.ru|Устинов Филарет Еремеевич|3|81337358770|U-~~7kRqgb|True|22.12.1986
vatslav_37|vatslav_37@gmail.com|Сазонов Игнатий Богданович|3|87686255309|Wfa~nQyi|True|28.04.1982
admitriev|admitriev@gmail.com|Яковлева Ульяна Богдановна|4|87098740716|YLU2m2Zgg|False|05.10.1981
dmitri31|dmitri31@rambler.ru|Селезнев Илья Якубович|2|84310528205|3ztV-bEa|True|02.05.1961
zdenisova|zdenisova@yahoo.com|Сазонова Клавдия Филипповна|2|84696836956|~~7MYHgu|False|14.04.1974
gavrilovmartin|gavrilovmartin@yandex.ru|Сысоева Ия Вениаминовна|3|84477391821|Hiypo0jm|True|14.05.2000
januari_55|januari_55@yandex.ru|Тихонов Амвросий Устинович|2|84212515729|D3z8SRybA|True|09.04.1957
sitnikovaelizaveta|sitnikovaelizaveta@yandex.ru|Симонов Артем Игнатович|2|80319289929|PR5JEj6DiP|False|09.07.1982
makar_46|makar_46@rambler.ru|Капустин Никита Ефимович|3|83838685451|yHIQWQD8|False|15.10.1978
potapovevlampi|potapovevlampi@yandex.ru|Яковлев Аверьян Антонович|2|86126691455|CBTFcB4Sau|True|03.09.1996
nazarovuljan|nazarovuljan@gmail.com|Шаров Герасим Федотович|3|88729645143|8PSToBCC2F|True|18.07.1989
aleksandra_1999|aleksandra_1999@hotmail.com|Колобова Регина Романовна|2|88262550478|NxPy6Uz5|False|02.12.1991
valerjan1974|valerjan1974@rambler.ru|Ковалева Елизавета Наумовна|2|84720343713|kMfPHTdNNg|False|07.02.1962
ziminmarian|ziminmarian@hotmail.com|Филиппова Ульяна Даниловна|2|89134615034|Otayy4WAa~|False|07.08.1969
rgrigorev|rgrigorev@hotmail.com|Суханова Вероника Викторовна|2|84246961900|R0jyftRG|False|17.02.2005
volkovapraskovja|volkovapraskovja@yahoo.com|Громов Пантелеймон Архипович|2|83776915167|JprG3dTH|True|24.11.1987
lev_1972|lev_1972@gmail.com|Алексеев Валерьян Вилорович|2|86208555412|TDYd_tflf|True|22.11.2008
innokenti07|innokenti07@yahoo.com|Вишнякова София Геннадиевна|2|82154731137|R~pHkNdvM5|True|26.05.1953
